12.09.2023 00:00:00.068 GMT+0300,1.11479,1.11396,9,9
12.09.2023 00:04:00.086 GMT+0300,1.11604,1.11352,9,9
12.09.2023 00:05:25.257 GMT+0300,1.11623,1.11369,9,9
12.09.2023 00:05:25.917 GMT+0300,1.1162200000000002,1.1137000000000001,9,9
12.09.2023 00:05:26.578 GMT+0300,1.11623,1.11369,9,9
12.09.2023 00:05:27.238 GMT+0300,1.1162200000000002,1.1137000000000001,9,9
12.09.2023 00:05:27.898 GMT+0300,1.11623,1.11369,9,9
12.09.2023 00:05:28.559 GMT+0300,1.1162200000000002,1.1137000000000001,9,9
12.09.2023 00:05:29.219 GMT+0300,1.1162200000000002,1.1137000000000001,9,9
12.09.2023 00:05:29.603 GMT+0300,1.1162200000000002,1.1137000000000001,9,9
12.09.2023 00:05:31.809 GMT+0300,1.1162,1.11369,1.2,9
12.09.2023 00:05:34.696 GMT+0300,1.11619,1.1137100000000002,1.2,9
12.09.2023 00:05:34.914 GMT+0300,1.11619,1.11372,1.2,9
12.09.2023 00:05:56.341 GMT+0300,1.11619,1.1137000000000001,1.2,9
12.09.2023 00:06:03.554 GMT+0300,1.11619,1.1137000000000001,1.2,9
12.09.2023 00:06:03.873 GMT+0300,1.11619,1.1137100000000002,1.2,9
12.09.2023 00:06:05.586 GMT+0300,1.11619,1.11372,1.2,9
12.09.2023 00:06:05.832 GMT+0300,1.11619,1.1137100000000002,1.2,9
12.09.2023 00:06:08.795 GMT+0300,1.1161200000000002,1.1137100000000002,1.2,9
12.09.2023 00:06:23.700 GMT+0300,1.11613,1.11369,1.2,9
12.09.2023 00:06:23.906 GMT+0300,1.1161200000000002,1.11369,1.2,9
12.09.2023 00:06:33.904 GMT+0300,1.1161200000000002,1.11368,1.2,9
12.09.2023 00:06:58.872 GMT+0300,1.11613,1.11366,1.2,9
12.09.2023 00:07:08.926 GMT+0300,1.1162,1.11366,9,9
12.09.2023 00:08:17.866 GMT+0300,1.11673,1.11321,0.22,1.08
12.09.2023 00:09:03.123 GMT+0300,1.11668,1.1132,0.22,1.08
12.09.2023 00:09:06.178 GMT+0300,1.11618,1.11364,9,9
12.09.2023 00:09:13.899 GMT+0300,1.11616,1.11364,9,9
12.09.2023 00:09:24.004 GMT+0300,1.11617,1.11365,9,9
12.09.2023 00:09:36.338 GMT+0300,1.11619,1.11365,9,9
12.09.2023 00:09:43.877 GMT+0300,1.11618,1.11364,9,9
12.09.2023 00:09:45.269 GMT+0300,1.11616,1.11364,9,9
12.09.2023 00:10:01.352 GMT+0300,1.11615,1.11363,9,9
12.09.2023 00:10:06.022 GMT+0300,1.11617,1.11363,9,9
12.09.2023 00:10:08.899 GMT+0300,1.1161100000000002,1.11364,1.2,9
12.09.2023 00:10:09.890 GMT+0300,1.1161100000000002,1.11363,1.2,9
12.09.2023 00:10:20.785 GMT+0300,1.1161200000000002,1.11363,1.2,9
12.09.2023 00:10:31.423 GMT+0300,1.1161100000000002,1.11363,1.2,9
12.09.2023 00:10:59.411 GMT+0300,1.1161100000000002,1.11364,1.2,9
12.09.2023 00:11:08.812 GMT+0300,1.11616,1.11364,9,9
12.09.2023 00:11:33.878 GMT+0300,1.11618,1.11364,9,9
12.09.2023 00:12:01.286 GMT+0300,1.11617,1.11365,7.62,9
12.09.2023 00:12:01.387 GMT+0300,1.11619,1.11365,9,9
12.09.2023 00:12:04.069 GMT+0300,1.11618,1.11366,7.62,9
12.09.2023 00:12:04.119 GMT+0300,1.11618,1.11366,9,9
12.09.2023 00:12:28.889 GMT+0300,1.11617,1.11365,9,9
12.09.2023 00:12:36.816 GMT+0300,1.11619,1.11365,9,9
12.09.2023 00:12:59.929 GMT+0300,1.11619,1.11365,7.62,9.09
12.09.2023 00:13:17.187 GMT+0300,1.11617,1.11363,9,7.62
12.09.2023 00:14:17.456 GMT+0300,1.11617,1.11366,0.12,0.12
12.09.2023 00:14:20.838 GMT+0300,1.11616,1.11366,0.12,0.12
12.09.2023 00:14:42.803 GMT+0300,1.11619,1.1136700000000002,7.62,9
12.09.2023 00:14:47.021 GMT+0300,1.11618,1.11366,7.62,9.09
12.09.2023 00:14:56.021 GMT+0300,1.11619,1.1136700000000002,7.62,9
12.09.2023 00:15:00.139 GMT+0300,1.11619,1.1136700000000002,9,9
12.09.2023 00:15:00.417 GMT+0300,1.11617,1.11363,9,7.62
12.09.2023 00:15:01.407 GMT+0300,1.11619,1.1136700000000002,7.62,9
12.09.2023 00:15:01.869 GMT+0300,1.11619,1.11365,7.62,9.09
12.09.2023 00:15:05.827 GMT+0300,1.11619,1.11365,7.62,9.09
12.09.2023 00:15:10.168 GMT+0300,1.1159700000000001,1.11365,1.2,8.32
12.09.2023 00:16:10.351 GMT+0300,1.1162,1.11366,7.62,9
12.09.2023 00:16:23.996 GMT+0300,1.11595,1.1136700000000002,1.2,8.22
12.09.2023 00:16:33.839 GMT+0300,1.11595,1.11366,1.2,8.29
12.09.2023 00:16:39.222 GMT+0300,1.11596,1.11365,1.2,8.29
12.09.2023 00:16:39.308 GMT+0300,1.11592,1.11366,1.2,8.29
12.09.2023 00:16:40.771 GMT+0300,1.11593,1.11361,1.2,8.32
12.09.2023 00:17:00.503 GMT+0300,1.1161200000000002,1.11358,8.32,8.22
12.09.2023 00:17:02.157 GMT+0300,1.1161100000000002,1.11359,8.32,8.32
12.09.2023 00:17:02.308 GMT+0300,1.11582,1.1136000000000001,1.2,8.32
12.09.2023 00:17:04.230 GMT+0300,1.1161100000000002,1.11359,8.32,8.32
12.09.2023 00:17:06.088 GMT+0300,1.1161100000000002,1.1135700000000002,8.32,8.22
12.09.2023 00:17:06.193 GMT+0300,1.1161100000000002,1.1135700000000002,8.32,8.22
12.09.2023 00:17:25.802 GMT+0300,1.1161100000000002,1.1135700000000002,8.32,8.22
12.09.2023 00:17:38.358 GMT+0300,1.1161,1.11358,8.32,8.22
12.09.2023 00:18:01.358 GMT+0300,1.11595,1.1135700000000002,1.72,8.32
12.09.2023 00:18:38.582 GMT+0300,1.1159700000000001,1.1135700000000002,1.2,7.62
12.09.2023 00:18:40.537 GMT+0300,1.1161,1.11356,7.62,7.62
12.09.2023 00:18:45.563 GMT+0300,1.1159700000000001,1.1135700000000002,1.2,7.62
12.09.2023 00:18:45.843 GMT+0300,1.1159700000000001,1.1135700000000002,1.72,8.32
12.09.2023 00:18:53.531 GMT+0300,1.1159700000000001,1.11355,1.82,8.32
12.09.2023 00:18:58.620 GMT+0300,1.1159700000000001,1.11355,1.82,8.32
12.09.2023 00:18:59.129 GMT+0300,1.1159700000000001,1.11355,1.82,8.32
12.09.2023 00:19:34.805 GMT+0300,1.11614,1.11362,7.62,7.62
12.09.2023 00:20:07.891 GMT+0300,1.1158700000000001,1.1136000000000001,1.2,8.32
12.09.2023 00:21:08.129 GMT+0300,1.1161200000000002,1.1136000000000001,9,9
12.09.2023 00:21:14.120 GMT+0300,1.11613,1.11359,7.62,7.62
12.09.2023 00:21:14.271 GMT+0300,1.1161100000000002,1.11359,8.32,8.32
12.09.2023 00:21:29.670 GMT+0300,1.1159000000000001,1.11358,1.32,8.32
12.09.2023 00:21:29.983 GMT+0300,1.11588,1.11358,1.2,8.32
12.09.2023 00:21:45.761 GMT+0300,1.11574,1.11358,1.2,8.32
12.09.2023 00:21:46.071 GMT+0300,1.11574,1.11356,1.2,8.32
12.09.2023 00:22:12.332 GMT+0300,1.11609,1.1135700000000002,8.37,7.62
12.09.2023 00:22:14.117 GMT+0300,1.11609,1.11359,1.2,9
12.09.2023 00:22:14.277 GMT+0300,1.11588,1.11359,1.2,8.22
12.09.2023 00:22:36.461 GMT+0300,1.11584,1.11351,1.2,8.22
12.09.2023 00:23:03.521 GMT+0300,1.1158299999999999,1.11359,1.2,8.22
12.09.2023 00:23:03.600 GMT+0300,1.11588,1.11358,1.2,8.22
12.09.2023 00:23:12.913 GMT+0300,1.11589,1.11358,1.2,8.22
12.09.2023 00:23:45.745 GMT+0300,1.11592,1.1135700000000002,1.2,8.32
12.09.2023 00:23:45.829 GMT+0300,1.11586,1.11358,1.2,8.32
12.09.2023 00:23:46.138 GMT+0300,1.1159000000000001,1.11358,1.2,8.32
12.09.2023 00:23:56.069 GMT+0300,1.1159000000000001,1.11358,1.12,8.32
12.09.2023 00:23:56.120 GMT+0300,1.11605,1.11353,7.62,7.62
12.09.2023 00:23:57.020 GMT+0300,1.11605,1.11353,7.62,7.62
12.09.2023 00:23:59.335 GMT+0300,1.11605,1.11353,7.62,7.62
12.09.2023 00:23:59.437 GMT+0300,1.1158000000000001,1.11351,1.2,8.32
12.09.2023 00:23:59.538 GMT+0300,1.1157700000000002,1.11352,1.2,8.32
12.09.2023 00:24:04.167 GMT+0300,1.11589,1.11352,1.2,8.32
12.09.2023 00:24:47.198 GMT+0300,1.11599,1.11365,1.2,8.32
12.09.2023 00:24:55.880 GMT+0300,1.11604,1.1136700000000002,1.2,8.22
12.09.2023 00:25:48.516 GMT+0300,1.11605,1.11372,1.2,8.32
12.09.2023 00:25:48.645 GMT+0300,1.11606,1.1137299999999999,1.2,8.32
12.09.2023 00:25:53.662 GMT+0300,1.11605,1.11375,1.2,8.29
12.09.2023 00:26:09.231 GMT+0300,1.11605,1.11375,1.2,8.29
12.09.2023 00:26:10.454 GMT+0300,1.11606,1.11374,1.2,8.32
12.09.2023 00:26:10.729 GMT+0300,1.11605,1.11375,1.2,8.32
12.09.2023 00:26:13.656 GMT+0300,1.11606,1.11376,1.2,8.22
12.09.2023 00:26:17.774 GMT+0300,1.1161,1.11382,1.2,8.32
12.09.2023 00:26:17.875 GMT+0300,1.1160100000000002,1.11382,1.2,8.32
12.09.2023 00:26:18.006 GMT+0300,1.1160100000000002,1.11403,1.2,1.08
12.09.2023 00:26:19.008 GMT+0300,1.1160100000000002,1.11379,1.2,7.72
12.09.2023 00:26:19.217 GMT+0300,1.1160200000000002,1.11403,1.2,1.08
12.09.2023 00:26:19.630 GMT+0300,1.1160200000000002,1.1137700000000001,1.2,7.72
12.09.2023 00:26:19.838 GMT+0300,1.1160100000000002,1.11404,1.2,1.08
12.09.2023 00:26:20.879 GMT+0300,1.1160200000000002,1.11378,1.2,7.72
12.09.2023 00:26:20.978 GMT+0300,1.1160100000000002,1.11403,1.2,1.08
12.09.2023 00:26:21.391 GMT+0300,1.1160100000000002,1.11384,1.2,7.72
12.09.2023 00:26:22.003 GMT+0300,1.1160100000000002,1.11403,1.2,1.08
12.09.2023 00:26:22.525 GMT+0300,1.1160100000000002,1.11384,1.2,7.72
12.09.2023 00:26:28.189 GMT+0300,1.1160100000000002,1.11384,1.2,8.32
12.09.2023 00:26:33.078 GMT+0300,1.11595,1.11378,1.2,8.32
12.09.2023 00:26:33.364 GMT+0300,1.11595,1.11369,1.2,8.32
12.09.2023 00:26:35.931 GMT+0300,1.11603,1.1136700000000002,1.12,8.32
12.09.2023 00:26:40.524 GMT+0300,1.11589,1.1136700000000002,1.2,8.32
12.09.2023 00:26:44.921 GMT+0300,1.11585,1.1136700000000002,1.2,8.32
12.09.2023 00:27:06.447 GMT+0300,1.11585,1.1136700000000002,1.2,8.32
12.09.2023 00:27:09.778 GMT+0300,1.1158700000000001,1.1136700000000002,1.2,8.32
12.09.2023 00:27:24.603 GMT+0300,1.11585,1.11364,1.2,8.32
12.09.2023 00:27:30.144 GMT+0300,1.11585,1.11386,1.2,1.07
12.09.2023 00:27:35.238 GMT+0300,1.11584,1.11375,1.2,1.07
12.09.2023 00:27:35.852 GMT+0300,1.1158100000000002,1.11375,1.2,1.07
12.09.2023 00:27:37.596 GMT+0300,1.1158000000000001,1.11376,1.2,1.07
12.09.2023 00:27:44.675 GMT+0300,1.11579,1.11375,1.2,1.07
12.09.2023 00:27:53.185 GMT+0300,1.11578,1.11376,1.2,1.07
12.09.2023 00:27:55.130 GMT+0300,1.11579,1.11375,1.2,1
12.09.2023 00:27:58.697 GMT+0300,1.11578,1.11376,1.2,1
12.09.2023 00:28:17.697 GMT+0300,1.11578,1.11376,1.2,1
12.09.2023 00:28:29.567 GMT+0300,1.11579,1.11375,1.2,1
12.09.2023 00:28:29.668 GMT+0300,1.11569,1.11376,1.2,1
12.09.2023 00:28:33.696 GMT+0300,1.11569,1.11376,1.2,1
12.09.2023 00:28:39.193 GMT+0300,1.11564,1.11376,1.2,1
